  0:	proc  - (:root:) creates proc  0 (Screen)
  0:	proc  - (:root:) creates proc  1 (User)
  0:	proc  - (:root:) creates proc  2 (Server)
140:	proc  2 (Server:1) Katsupay_spin.pml:206 (state 24)	[.(goto)]
141:	proc  0 (Screen:1) Katsupay_spin.pml:101 (state 99)	[goto :b4]
142:	proc  1 (User:1) Katsupay_spin.pml:171 (state 70)	[.(goto)]
143:	proc  2 (Server:1) Katsupay_spin.pml:207 (state 26)	[.(goto)]
144:	proc  2 (Server:1) Katsupay_spin.pml:182 (state 1)	[((Server_state==HTTP_waiting))]
145:	proc  1 (User:1) Katsupay_spin.pml:178 (state 83)	[.(goto)]
146:	proc  1 (User:1) Katsupay_spin.pml:147 (state 39)	[((Screen_state==s_charge))]
147:	proc  0 (Screen:1) Katsupay_spin.pml:60 (state 50)	[((Screen_state==s_charge))]
148:	proc  1 (User:1) Katsupay_spin.pml:147 (state 40)	[Screen_ch!press_charge_charge_btn]
148:	proc  0 (Screen:1) Katsupay_spin.pml:62 (state 51)	[Screen_ch?press_charge_charge_btn]
149:	proc  0 (Screen:1) Katsupay_spin.pml:62 (state 52)	[Screen_state = s_nfc]
150:	proc  1 (User:1) Katsupay_spin.pml:148 (state 41)	[((Screen_state==s_nfc))]
151:	proc  1 (User:1) Katsupay_spin.pml:178 (state 83)	[.(goto)]
152:	proc  1 (User:1) Katsupay_spin.pml:127 (state 8)	[((Screen_state==s_nfc))]
153:	proc  0 (Screen:1) Katsupay_spin.pml:64 (state 54)	[.(goto)]
154:	proc  0 (Screen:1) Katsupay_spin.pml:116 (state 119)	[.(goto)]
155:	proc  0 (Screen:1) Katsupay_spin.pml:25 (state 10)	[((Screen_state==s_nfc))]
156:	proc  0 (Screen:1) Katsupay_spin.pml:60 (state 48)	[.(goto)]
157:	proc  1 (User:1) Katsupay_spin.pml:140 (state 27)	[Screen_ch!nfc_charge]
157:	proc  0 (Screen:1) Katsupay_spin.pml:46 (state 33)	[Screen_ch?nfc_charge]
158:	proc  0 (Screen:1) Katsupay_spin.pml:47 (state 34)	[HTTP_ch!req_HTTP_charge]
158:	proc  2 (Server:1) Katsupay_spin.pml:191 (state 9)	[HTTP_ch?req_HTTP_charge]
159:	proc  2 (Server:1) Katsupay_spin.pml:192 (state 10)	[Server_state = HTTP_receive]
160:	proc  2 (Server:1) Katsupay_spin.pml:195 (state 12)	[HTTP_ch!fail_HTTP_charge]
160:	proc  0 (Screen:1) Katsupay_spin.pml:56 (state 42)	[HTTP_ch?fail_HTTP_charge]
161:	proc  0 (Screen:1) Katsupay_spin.pml:56 (state 43)	[Screen_state = s_fail]
162:	proc  0 (Screen:1) Katsupay_spin.pml:58 (state 45)	[.(goto)]
163:	proc  1 (User:1) Katsupay_spin.pml:144 (state 32)	[((Screen_state==s_fail))]
164:	proc  0 (Screen:1) Katsupay_spin.pml:58 (state 46)	[goto :b1]
165:	proc  2 (Server:1) Katsupay_spin.pml:197 (state 15)	[Server_state = HTTP_waiting]
166:	proc  1 (User:1) Katsupay_spin.pml:144 (state 33)	[goto :b8]
167:	proc  1 (User:1) Katsupay_spin.pml:171 (state 71)	[((Screen_state==s_fail))]
168:	proc  2 (Server:1) Katsupay_spin.pml:206 (state 24)	[.(goto)]
169:	proc  2 (Server:1) Katsupay_spin.pml:207 (state 26)	[.(goto)]
170:	proc  2 (Server:1) Katsupay_spin.pml:182 (state 1)	[((Server_state==HTTP_waiting))]
171:	proc  0 (Screen:1) Katsupay_spin.pml:106 (state 106)	[((Screen_state==s_fail))]
172:	proc  1 (User:1) Katsupay_spin.pml:171 (state 72)	[Screen_ch!press_fail_return_btn]
172:	proc  0 (Screen:1) Katsupay_spin.pml:108 (state 107)	[Screen_ch?press_fail_return_btn]
173:	proc  0 (Screen:1) Katsupay_spin.pml:111 (state 110)	[((PayType==paytype_charge))]
174:	proc  0 (Screen:1) Katsupay_spin.pml:111 (state 111)	[Screen_state = s_charge]
175:	proc  1 (User:1) Katsupay_spin.pml:174 (state 75)	[((Screen_state==s_charge))]
176:	proc  1 (User:1) Katsupay_spin.pml:174 (state 76)	[goto :b11]
177:	proc  1 (User:1) Katsupay_spin.pml:147 (state 39)	[((Screen_state==s_charge))]
178:	proc  0 (Screen:1) Katsupay_spin.pml:113 (state 113)	[.(goto)]
179:	proc  0 (Screen:1) Katsupay_spin.pml:114 (state 115)	[.(goto)]
180:	proc  0 (Screen:1) Katsupay_spin.pml:116 (state 119)	[.(goto)]
181:	proc  0 (Screen:1) Katsupay_spin.pml:60 (state 50)	[((Screen_state==s_charge))]
182:	proc  1 (User:1) Katsupay_spin.pml:147 (state 40)	[Screen_ch!press_charge_charge_btn]
182:	proc  0 (Screen:1) Katsupay_spin.pml:62 (state 51)	[Screen_ch?press_charge_charge_btn]
183:	proc  0 (Screen:1) Katsupay_spin.pml:62 (state 52)	[Screen_state = s_nfc]
184:	proc  1 (User:1) Katsupay_spin.pml:148 (state 41)	[((Screen_state==s_nfc))]
185:	proc  1 (User:1) Katsupay_spin.pml:178 (state 83)	[.(goto)]
186:	proc  0 (Screen:1) Katsupay_spin.pml:64 (state 54)	[.(goto)]
187:	proc  1 (User:1) Katsupay_spin.pml:127 (state 8)	[((Screen_state==s_nfc))]
188:	proc  0 (Screen:1) Katsupay_spin.pml:116 (state 119)	[.(goto)]
189:	proc  0 (Screen:1) Katsupay_spin.pml:25 (state 10)	[((Screen_state==s_nfc))]
190:	proc  1 (User:1) Katsupay_spin.pml:140 (state 27)	[Screen_ch!nfc_charge]
190:	proc  0 (Screen:1) Katsupay_spin.pml:46 (state 33)	[Screen_ch?nfc_charge]
191:	proc  0 (Screen:1) Katsupay_spin.pml:47 (state 34)	[HTTP_ch!req_HTTP_charge]
191:	proc  2 (Server:1) Katsupay_spin.pml:191 (state 9)	[HTTP_ch?req_HTTP_charge]
192:	proc  2 (Server:1) Katsupay_spin.pml:192 (state 10)	[Server_state = HTTP_receive]
193:	proc  2 (Server:1) Katsupay_spin.pml:195 (state 12)	[HTTP_ch!fail_HTTP_charge]
193:	proc  0 (Screen:1) Katsupay_spin.pml:56 (state 42)	[HTTP_ch?fail_HTTP_charge]
194:	proc  2 (Server:1) Katsupay_spin.pml:197 (state 15)	[Server_state = HTTP_waiting]
195:	proc  2 (Server:1) Katsupay_spin.pml:206 (state 24)	[.(goto)]
196:	proc  2 (Server:1) Katsupay_spin.pml:207 (state 26)	[.(goto)]
197:	proc  2 (Server:1) Katsupay_spin.pml:182 (state 1)	[((Server_state==HTTP_waiting))]
198:	proc  0 (Screen:1) Katsupay_spin.pml:56 (state 43)	[Screen_state = s_fail]
199:	proc  0 (Screen:1) Katsupay_spin.pml:58 (state 45)	[.(goto)]
200:	proc  1 (User:1) Katsupay_spin.pml:144 (state 32)	[((Screen_state==s_fail))]
201:	proc  0 (Screen:1) Katsupay_spin.pml:58 (state 46)	[goto :b1]
202:	proc  1 (User:1) Katsupay_spin.pml:144 (state 33)	[goto :b8]
203:	proc  0 (Screen:1) Katsupay_spin.pml:106 (state 106)	[((Screen_state==s_fail))]
204:	proc  1 (User:1) Katsupay_spin.pml:171 (state 71)	[((Screen_state==s_fail))]
205:	proc  1 (User:1) Katsupay_spin.pml:171 (state 72)	[Screen_ch!press_fail_return_btn]
